activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
ubuvuzi bw'amatungo,ubuvuzi bw'amatungo,7500,7500,7500,4,4,Veterinary activities,Veterinary activities,Veterinary activities,5555
GUTUNGANYA IMISATSI,gutunganya imisatsi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUCURUNZI BWIGANJEMO IBIRIBWA BUTARANGUZA,ubucurunzi bwiganjemo ibiribwa butaranguza,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
sitandi icuruza imyenda y'abana,sitandi icuruza imyenda y'abana,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kuvura abantu bakoresheje ibinini,kuvura abantu bakoresheje ibinini,4772,4772,4772,4,4,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
ubucuru buranguza imiceri n'amasukari,ubucuru buranguza imiceri n'amasukari,4690,4690,4690,4,4,Non-specialized wholesale trade,Non-specialized wholesale trade,Non-specialized wholesale trade,4690
UBIHINZI BW'IBIGORI,ubihinzi bw'ibigori,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
kudetaya ibikoresho byinkweto,kudetaya ibikoresho byinkweto,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
Kogosha imisatsi abaturage,kogosha imisatsi abaturage,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
BASATURA IBITI BAGAKURAMO IMBAHO,basatura ibiti bagakuramo imbaho,1610,1610,1610,4,4,Sawmilling and planing of wood,Sawmilling and planing of wood,Sawmilling and planing of wood,1610
Abihayimana,abihayimana,9491,9491,9491,4,4,Activities of religious organizations,Activities of religious organizations,Activities of religious organizations,9491
kubaga ingurube bakotsa imyama bakagaburira abantu,kubaga ingurube bakotsa imyama bakagaburira abantu,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
"kudandaza ifumbire Npk, iree, DAP","kudandaza ifumbire npk, iree, dap",4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
UBUHINZI  BW'IBIJUMBA,ubuhinzi bw'ibijumba,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
Ubucuruzi bw'akabari,ubucuruzi bw'akabari,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUHINZI BW' IBIHINGWA BITANDUKANYE,ubuhinzi bw'ibihingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
gukora fourniture nokubicuruza,gukora fourniture nokubicuruza,4759,4759,4759,4,4,"Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores",4759
restaurent ya Claudine,restaurent ya claudine,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
kudandaza higanjemo ibinyobwa,kudandaza higanjemo ibinyobwa,4722,4722,4722,4,4,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,4722
UBUHINZI BW'IIBINGWA BITANDUKANYE,ubuhinzi bw'iibingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
"Kubika ,Kubikurira no Kuguriza abanyamuryango ba sacco jyambere busanze","kubika ,kubikurira no kuguriza abanyamuryango ba sacco jyambere busanze",6419,6419,6419,4,4,Other monetary intermediation,Other monetary intermediation,Other monetary intermediation,6419
Ubudandazi bwiganjemo Ibiribwa,ubudandazi bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI N'UBWOROZI BYO GUTUNGA URUGO,ubuhinzi n'ubworozi byo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
Gufotora impapuro nokwandikira aba client,gufotora impapuro nokwandikira aba client,8219,8219,8219,4,4,"Photocopying, document preparation and other specialized office support activities","Photocopying, document preparation and other specialized office support activities","Photocopying, document preparation and other specialized office support activities",8219
KUBITSA KUBIKUZA NO KUGURIZA,kubitsa kubikuza no kuguriza,6419,6419,6419,4,4,Other monetary intermediation,Other monetary intermediation,Other monetary intermediation,6419
UBUCURUZI BUDANDAZA IBIRIBWA,ubucuruzi budandaza ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kudoda imyenda mishya,kudoda imyenda mishya,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
ubucuruzi bigabura ibinyobwa bisembuye,ubucuruzi bigabura ibinyobwa bisembuye,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUCURUZI BWIBIRIBWA,ubucuruzi bwibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kogosha umusatsi abana abagabo n'abagore,kogosha umusatsi abana abagabo n'abagore,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUCURUZI BUDANDAZA ICYIGAGE N'URWAGWA MUKABARI,ubucuruzi budandaza icyigage n'urwagwa mukabari,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
"ubucuruzi budandaza,umuceri,kawunga,ibishyimbo,isukari","ubucuruzi budandaza,umuceri,kawunga,ibishyimbo,isukari",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
"restorant :iteka igitoki,umuceri,amafi,amafiriti,bacuruza icyo kunywa:fanta,..","restorant :iteka igitoki,umuceri,amafi,amafiriti,bacuruza icyo kunywa:fanta,..",5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
BAHINGA UMUCERI,bahinga umuceri,112,112,112,3,4,Growing of rice,Growing of rice,Growing of rice,112
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
UBUHINZI BW IKAWA,ubuhinzi bw ikawa,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
Ubudandaza bw'ibyo kunywa higanjemo urwagwa,ubudandaza bw'ibyo kunywa higanjemo urwagwa,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UVUGABUTUMWA,uvugabutumwa,9491,9491,9491,4,4,Activities of religious organizations,Activities of religious organizations,Activities of religious organizations,9491
UBUHINZI BUGAMIJE GUTUNGA URUGO,ubuhinzi bugamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
gucuruza boutique,gucuruza boutique,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
BUBAKA AMAZU YO KUBAMO,bubaka amazu yo kubamo,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
Butike idandaza ubuconco bwiganjemo amavuta yokwisiga nibitenge,butike idandaza ubuconco bwiganjemo amavuta yokwisiga nibitenge,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
Gucuruza ibikoresho by'ubwubatsi,gucuruza ibikoresho by'ubwubatsi,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
kudandaza ibintu bitandukanye mwifuka,kudandaza ibintu bitandukanye mwifuka,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
ubudandazi bw'ibiribwa mu isoko,ubudandazi bw'ibiribwa mu isoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
UBUCURUZI BW'IBIRIBWA  MWISOKO,ubucuruzi bw'ibiribwa mwisoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
service z'itumanaho,service z'itumanaho,6190,6190,6190,4,4,Other telecommunications activities,Other telecommunications activities,Other telecommunications activities,9999
ubucuruzi bidandaza bwibintu bwiganjemo ibiribwa,ubucuruzi bidandaza bwibintu bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
guha abantu ibyokurya no kunywa,guha abantu ibyokurya no kunywa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BW' IBIHIGWA BYO GUTUNGA URUGO,ubuhinzi bw'ibihigwa byo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
